Publisher,Date,UPC,UPCextra,VariantName,Variant frequency,Series,Story,Issue,Condition,Paid,Purchased,Value,Valuation date,Writer,Illustrator
Marvel,2019-09-04,,111,None,,Star Wars Jedi Fallen Order,Dark Temple (5 part),1,9.8,2.8,2019-09-04,2.8,2019-09-04,,
Marvel,2019-09-25,,111,None,,Star Wars Jedi Fallen Order,Dark Temple (5 part),2,9.8,2.8,2019-09-25,2.8,2019-09-25,,
Marvel,2019-10-09,,111,None,,Star Wars Jedi Fallen Order,Dark Temple (5 part),3,9.8,2.8,2019-10-09,2.8,2019-10-09,,
Marvel,2019-11-13,,111,None,,Star Wars Jedi Fallen Order,Dark Temple (5 part),4,9.8,2.8,2019-11-13,2.8,2019-11-13,,
Marvel,2019-12-04,,111,None,,Star Wars Jedi Fallen Order,Dark Temple (5 part),5,9.8,2.8,2019-12-04,2.8,2019-12-04,,
Marvel,2019-07-03,,111,None,,Star Wars: Target Vader,,1,9.8,2.8,2019-07-03,2.8,2019-07-03,,
Marvel,2019-08-14,,111,None,,Star Wars: Target Vader,,2,9.8,2.8,2019-08-14,2.8,2019-08-14,,
Marvel,2019-09-25,,111,None,,Star Wars: Target Vader,,3,9.8,2.8,2019-09-25,2.8,2019-09-25,,
Marvel,2019-10-09,,111,None,,Star Wars: Target Vader,,4,9.8,2.8,2019-10-09,2.8,2019-10-09,,
Marvel,2019-11-13,,111,None,,Star Wars: Target Vader,,5,9.8,2.8,2019-11-13,2.8,2019-11-13,,
Marvel,2019-12-11,,111,None,,Star Wars: Target Vader,,6,9.8,2.8,2019-12-11,2.8,2019-12-11,,
Marvel,2019-10-09,,111,None,,Star Wars: Allegiance,,1,9.8,2.8,2019-10-09,2.8,2019-10-09,,
Marvel,2019-10-16,,111,None,,Star Wars: Allegiance,,2,9.8,2.8,2019-10-16,2.8,2019-10-16,,
Marvel,2019-10-23,,111,None,,Star Wars: Allegiance,,3,9.8,2.8,2019-10-23,2.8,2019-10-23,,
Marvel,2019-10-30,,111,None,,Star Wars: Allegiance,,4,9.8,2.8,2019-10-30,2.8,2019-10-30,,
Marvel,2019-12-04,,111,None,,Star Wars Saga,,1,9.8,2.8,2019-12-04,2.8,2019-12-04,,
Marvel,1977-07-12,,,None,,,,4,,NA,NA,,,,
Marvel,1977-08-10,,,None,,,,5,,NA,NA,,,,
Marvel,1978-01-10,,,None,,,,10,,NA,NA,,,,
Marvel,1978-02-07,,,None,,,,11,,NA,NA,,,,
Marvel,1978-06-27,,,None,,,,16,,NA,NA,,,,
Marvel,2019-12-04,,111,True Believers #1,,Star Wars,,16,9.8,1,2019-12-04,2.8,2019-12-04,,
Marvel,1978-07-25,,,None,,,,17,,NA,NA,,,,
Marvel,1979-01-23,,,None,,,,22,,NA,NA,,,,
Marvel,1979-10-02,,,None,,,,31,,NA,NA,,,,
Marvel,1979-12-25,,,None,,,,33,,NA,NA,,,,
Marvel,1980-04-01,,,None,,,,37,,NA,NA,,,,
Marvel,1980-06-03,,,None,,,,39,,NA,NA,,,,
Marvel,1980-07-22,,,None,,,,40,,NA,NA,,,,
Marvel,1980-09-02,,,None,,,,41,,NA,NA,,,,
Marvel,1980-12-02,,,None,,,,45,,5,NA,,,,
Marvel,2019-12-04,,111,True Believers #1,,Star Wars,,45,9.8,1,2019-12-04,1,2019-12-04,,
Marvel,2019-12-04,,111,True Believers #1,,Star Wars,,48,9.8,1,2019-12-04,1,2019-12-04,,
Marvel,1981-04-21,,,None,,,,49,,5.5,NA,,,,
Marvel,1981-10-20,,,None,,,,55,,8.75,NA,,,,
Marvel,1982-01-19,,,None,,,,58,,5,NA,,,,
Marvel,1982-02-16,,,None,,,,59,,NA,NA,,,,
Marvel,1982-03-16,,,None,,,,60,,NA,NA,,,,
Marvel,1982-04-13,,,None,,,,61,,5,NA,,,,
Marvel,1982-05-18,,,None,,,,62,,5,NA,,,,
Marvel,1982-07-13,,,None,,,,64,,NA,NA,,,,
Marvel,1982-08-17,,,None,,,,65,,NA,NA,,,,
Marvel,1982-10-19,,,None,,,,67,,5,NA,,,,
Marvel,1982-12-14,,,None,,,,69,,5,NA,,,,
Marvel,1983-01-01,,,None,,,,71,,5,NA,,,,
Marvel,1983-03-22,,,None,,,,73,,NA,NA,,,,
Marvel,1983-04-26,,,None,,,,74,,NA,NA,,,,
Marvel,1983-05-24,,,None,,,,75,,5,NA,,,,
Marvel,1983-07-26,,,None,,,,77,,5,NA,,,,
Marvel,1983-07-26,,,None,,,,77,,5,NA,,,,
Marvel,1983-08-23,,,None,,,,78,,5,NA,,,,
Marvel,1983-09-27,,,None,,,,79,,5,NA,,,,
Marvel,1983-12-27,,,None,,,,82,,5,NA,,,,
Marvel,1984-02-14,,,None,,,,83,,7,NA,,,,
Marvel,1984-04-17,,,None,,,,85,,5,NA,,,,
Marvel,1984-05-22,,,None,,,,87,,5,NA,,,,
Marvel,1985-04-23,,,None,,,,98,,5,NA,,,,
